hotel_name,price,rating,location,review
Grand Plaza Hotel,189.0,4.5,Paris,Amazing stay! Beautiful views and excellent service.
Sunset Resort,245.0,4.8,Barcelona,Perfect location. Would definitely come back.
City Center Inn,120.0,3.9,London,Good value but rooms are small.
Mountain View Lodge,320.0,4.9,Zurich,Stunning scenery. Best hotel ever!
Harbor Hotel,156.0,4.2,Barcelona,Close to the port. Quiet rooms.
Riverside Suites,210.0,4.6,Paris,Elegant decor and helpful staff.
Downtown Budget Stay,85.0,3.5,London,Basic but clean. Great for backpackers.
Alpine Retreat,280.0,4.7,Zurich,Mountain views from every window.
Beach Paradise,195.0,4.3,Barcelona,Steps from the beach. Pool area is nice.
Skyline Suites London,186.0,4.6,London,Modern rooms. Tube station nearby.
Metro Hotel London,201.0,3.5,London,Convenient location. Breakfast could improve.
Lakeside Resort London,167.0,3.8,London,Peaceful area. Older building.
Seaside Villa Zurich,210.0,3.2,Zurich,Pricey for what you get.
Royal Palace Hotel Zurich,271.0,5.0,Zurich,Five-star service throughout.
