name,type,location,price,duration,rating,source,review_text
City Hotel — booking 56557,hotel,FRA,168.3,3.0,4.0,kaggle:hotel_booking_demand,
City Hotel — booking 102794,hotel,ESP,130.9,4.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 60616,hotel,PRT,62.8,2.0,4.2,kaggle:hotel_booking_demand,
Resort Hotel — booking 35431,hotel,PRT,8.0,2.0,3.2,kaggle:hotel_booking_demand,
City Hotel — booking 118149,hotel,FRA,180.0,3.0,4.1,kaggle:hotel_booking_demand,
Resort Hotel — booking 20159,hotel,PRT,44.0,5.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 34319,hotel,PRT,35.0,1.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 69631,hotel,SWE,141.0,4.0,3.9,kaggle:hotel_booking_demand,
City Hotel — booking 96017,hotel,PRT,137.0,2.0,4.2,kaggle:hotel_booking_demand,
City Hotel — booking 55461,hotel,ESP,149.4,3.0,4.2,kaggle:hotel_booking_demand,
Resort Hotel — booking 36171,hotel,GBR,102.5,4.0,4.9,kaggle:hotel_booking_demand,
City Hotel — booking 46544,hotel,PRT,73.9,1.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 69869,hotel,FRA,240.0,2.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 72319,hotel,PRT,110.0,4.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 47945,hotel,AUT,89.3,3.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 88251,hotel,GBR,77.03,3.0,4.4,kaggle:hotel_booking_demand,
City Hotel — booking 71882,hotel,DEU,190.0,1.0,3.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 22070,hotel,PRT,54.0,2.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 111728,hotel,PRT,110.0,1.0,5.0,kaggle:hotel_booking_demand,
City Hotel — booking 64143,hotel,PRT,95.0,3.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 11497,hotel,IRL,54.0,5.0,4.0,kaggle:hotel_booking_demand,
City Hotel — booking 113194,hotel,PRT,170.0,1.0,4.7,kaggle:hotel_booking_demand,
