name,type,location,price,duration,rating,source,review_text,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,cost_per_day,cluster,cluster_label
Resort Hotel — booking 30729,hotel,PRT,38.4,1.0,5.0,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,38.4,0,budget
Resort Hotel — booking 35114,hotel,NOR,58.61,7.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,8.372857142857143,0,budget
City Hotel — booking 61516,hotel,LUX,79.2,3.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,26.400000000000002,0,budget
City Hotel — booking 41611,hotel,FIN,75.0,2.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,37.5,0,budget
City Hotel — booking 118482,hotel,CN,99.0,1.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,99.0,1,mid-range
Resort Hotel — booking 32091,hotel,PRT,35.0,1.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,35.0,0,budget
City Hotel — booking 48468,hotel,ESP,140.4,2.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,70.2,1,mid-range
City Hotel — booking 75056,hotel,PRT,62.0,2.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,31.0,0,budget
Resort Hotel — booking 18568,hotel,BEL,25.0,3.0,4.3,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,8.333333333333334,0,budget
City Hotel — booking 89309,hotel,LUX,106.25,4.0,4.3,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,26.5625,1,mid-range
Resort Hotel — booking 1153,hotel,PRT,185.0,1.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,185.0,2,premium
City Hotel — booking 58202,hotel,PRT,101.87,4.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,25.4675,1,mid-range
Resort Hotel — booking 35414,hotel,PRT,50.0,1.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,50.0,0,budget
City Hotel — booking 79197,hotel,PRT,72.25,4.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,18.0625,0,budget
City Hotel — booking 42706,hotel,FRA,100.0,2.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,50.0,1,mid-range
City Hotel — booking 107119,hotel,ISR,80.0,2.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,40.0,0,budget
Resort Hotel — booking 2263,hotel,PRT,50.0,3.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,16.666666666666668,0,budget
City Hotel — booking 50377,hotel,BEL,99.3,3.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,33.1,1,mid-range
City Hotel — booking 110569,hotel,PRT,179.0,1.0,4.0,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,179.0,2,premium
City Hotel — booking 60729,hotel,FRA,78.3,2.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,39.15,0,budget
City Hotel — booking 42715,hotel,FRA,100.0,2.0,5.0,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,50.0,1,mid-range
City Hotel — booking 74204,hotel,PRT,62.0,2.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,31.0,0,budget
Resort Hotel — booking 12729,hotel,ESP,217.71,7.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,31.101428571428574,2,premium
City Hotel — booking 60419,hotel,PRT,62.8,2.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,31.4,0,budget
City Hotel — booking 87127,hotel,FRA,89.25,4.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,22.3125,0,budget
City Hotel — booking 79650,hotel,ISR,86.0,3.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,28.666666666666668,0,budget
City Hotel — booking 118466,hotel,SWE,180.0,2.0,4.1,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,90.0,2,premium
